Date,Adj Close,Close,High,Low,Open,Volume,Log_returns
2014-06-03,4234.080078125,4234.080078125,4240.35009765625,4215.7998046875,4222.0400390625,1718640000,-0.0007366341870124655
2014-06-04,4251.64013671875,4251.64013671875,4256.18994140625,4216.22998046875,4222.2099609375,1610090000,0.004138737364628519
2014-06-05,4296.22998046875,4296.22998046875,4299.5,4241.68017578125,4259.1201171875,1926750000,0.010433066389828636
2014-06-06,4321.39990234375,4321.39990234375,4322.509765625,4305.740234375,4312.759765625,1616650000,0.005841511828786337
2014-06-09,4336.240234375,4336.240234375,4346.740234375,4320.27978515625,4324.35009765625,1783060000,0.003428265978204457
2014-06-10,4338.0,4338.0,4338.8701171875,4319.93017578125,4329.2001953125,1787120000,0.0004057451953356358
2014-06-11,4331.93017578125,4331.93017578125,4338.2099609375,4315.490234375,4322.919921875,1778460000,-0.00140020163654732
2014-06-12,4297.6298828125,4297.6298828125,4328.35009765625,4284.52978515625,4323.10986328125,1908190000,-0.007949530073297467
2014-06-13,4310.64990234375,4310.64990234375,4317.669921875,4288.41015625,4315.31005859375,1754560000,0.00302500146014126
2014-06-16,4321.10009765625,4321.10009765625,4326.89013671875,4296.259765625,4303.93017578125,1675120000,0.002421339917905909
2014-06-17,4337.22998046875,4337.22998046875,4346.1201171875,4311.14990234375,4316.009765625,1814360000,0.0037258689208365943
2014-06-18,4362.83984375,4362.83984375,4365.10009765625,4320.5400390625,4341.18017578125,1860660000,0.005887294646819127
2014-06-19,4359.330078125,4359.330078125,4372.18017578125,4339.60986328125,4370.14013671875,1845460000,-0.000804791891438502
2014-06-20,4368.0400390625,4368.0400390625,4368.7998046875,4354.02978515625,4365.3701171875,2721380000,0.0019960111035276515
2014-06-23,4368.68017578125,4368.68017578125,4371.81005859375,4358.68017578125,4368.9599609375,1712930000,0.00014653936583846732
2014-06-24,4350.35009765625,4350.35009765625,4399.8701171875,4342.89990234375,4367.89990234375,2014700000,-0.004204620136568065
2014-06-25,4379.759765625,4379.759765625,4383.5498046875,4339.41015625,4341.81982421875,1722820000,0.006737550771424293
2014-06-26,4379.0498046875,4379.0498046875,4379.7998046875,4347.4501953125,4379.43994140625,1554070000,-0.00016211356882588814
2014-06-27,4397.93017578125,4397.93017578125,4398.85009765625,4371.60009765625,4371.7998046875,3964930000,0.004302254364889153
2014-06-30,4408.18017578125,4408.18017578125,4417.4599609375,4396.58984375,4398.3701171875,1848110000,0.0023279300893909362
